name,iv
Lapse,0.09854352068463788
Premium,0.058430078188917274
Weight,0.05758782173793398
N_doors,0.057281408202809435
Value_vehicle,0.05534242084128998
Length,0.05419973714430071
Cylinder_capacity,0.05100435047200517
Power,0.050574526273789236
Seniority,0.044037610540509524
Type_risk,0.04324571831513339
Payment,0.039426481830238884
Driving_experience,0.02305728715079088
Age,0.01803222495790769
Year_matriculation,0.016558288799812054
Type_fuel,0.016003577706028674
Second_driver,0.006613290370803394
Distribution_channel,0.006483285287102843
Max_products,0.002542359537504063
Policies_in_force,0.0025024525512450475
Max_policies,0.0024530104083847013
Area,0.0010844215154413909
