iter	Logloss
0	0.6813438627
1	0.6702474319
2	0.6617305229
3	0.6544636003
4	0.6484063458
5	0.6442866679
6	0.6404162659
7	0.6368862891
8	0.6342193588
9	0.6316073456
10	0.6292330278
11	0.6272378418
12	0.6246076871
13	0.6231202102
14	0.6216750274
15	0.6205255265
16	0.6188273014
17	0.6176236699
18	0.6157323073
19	0.6145569977
20	0.6137168376
21	0.6128017771
22	0.6121358262
23	0.6113802801
24	0.6103696324
25	0.6092916109
26	0.6084549806
27	0.6078214954
28	0.6069788094
29	0.6062464503
30	0.6057849553
31	0.6053362113
32	0.6046556615
33	0.6040545651
34	0.6035644158
35	0.6032879051
36	0.6025626759
37	0.6022055351
38	0.6017719336
39	0.6014211044
40	0.6009863326
41	0.6007147202
42	0.6002623888
43	0.5996144773
44	0.5993278054
45	0.5988190669
46	0.5985730074
47	0.598324582
48	0.5980387415
49	0.5977221236
50	0.5975045522
51	0.5971769675
52	0.5968746864
53	0.5966347466
54	0.5963184484
55	0.5956683307
56	0.5953937384
57	0.5951439892
58	0.5949970404
59	0.5947510449
60	0.5944324446
61	0.5942391346
62	0.594007348
63	0.5937914457
64	0.5936056429
65	0.5934596852
66	0.5932521599
67	0.5930126486
68	0.592861735
69	0.5926028415
70	0.5924381539
71	0.5923354304
72	0.5919882972
73	0.5918737372
74	0.5916528855
75	0.591499964
76	0.591309928
77	0.5911731082
78	0.5910034264
79	0.5907735582
80	0.5906808807
81	0.5905517664
82	0.5902798726
83	0.5901201792
84	0.589893713
85	0.5895488052
86	0.5893252868
87	0.5892049525
88	0.5890389987
89	0.5889391783
90	0.5888563933
91	0.5885755598
92	0.5884867382
93	0.5881796419
94	0.5878283459
95	0.5876410276
96	0.5873675415
97	0.5871118134
98	0.5869164571
99	0.5868070192
100	0.5867029592
101	0.5865251306
102	0.5864386046
103	0.5863014843
104	0.586176987
105	0.5860803256
106	0.5859749803
107	0.5858319194
108	0.5856848618
109	0.5854420956
110	0.5852995526
111	0.5852334832
112	0.585018182
113	0.5847138353
114	0.5845531508
115	0.5844291011
116	0.5842823569
117	0.5841490094
118	0.5839170629
119	0.5837686497
120	0.583675825
121	0.5834243621
122	0.5832424665
123	0.5831583898
124	0.5830138325
125	0.5828756762
126	0.5826874052
127	0.5825397657
128	0.5824404505
129	0.5822639776
130	0.5820808286
131	0.5817414074
132	0.5816137
133	0.5813956235
134	0.5812692014
135	0.5810783853
136	0.5809448908
137	0.5807943673
138	0.5805788167
139	0.580364545
140	0.5801768942
141	0.5800698415
142	0.5799211661
143	0.5797262702
144	0.5795382997
145	0.579306609
146	0.5791054463
147	0.5789214597
148	0.578729825
149	0.5785456785
150	0.5783002074
151	0.5781551641
152	0.5779729744
153	0.5778467186
154	0.5776818391
155	0.5775582115
156	0.5773835354
157	0.577232705
158	0.5771148006
159	0.5768871385
