iter	Passed	Remaining
130	41165	194516
131	41550	194530
132	41763	193746
133	41984	193003
134	42248	192465
135	42577	192225
136	42873	191834
137	43167	191438
138	43421	190868
139	43716	190478
140	44003	190059
141	44308	189713
142	44593	189286
143	44859	188782
144	45081	188098
145	45328	187522
146	45590	187013
147	45905	186723
148	46122	186036
149	46431	185727
150	46694	185233
151	46916	184578
152	47350	184759
153	47736	184747
154	48009	184295
155	48341	184068
156	48696	183928
157	48900	183222
158	49151	182694
159	49447	182337
160	49725	181914
161	49993	181456
162	50213	180830
163	50472	180347
164	50777	180029
165	51031	179533
166	51283	179032
167	51557	178609
168	51808	178111
169	52056	177605
170	52296	177074
171	52655	176948
172	52991	176741
173	53281	176379
174	53573	176027
175	53850	175625
176	54102	175145
177	54322	174563
178	54568	174071
179	54803	173543
180	55094	173196
181	55378	172829
182	55752	172741
183	55992	172237
184	56233	171740
185	56595	171611
186	56865	171203
187	57158	170867
188	57468	170582
189	57767	170261
190	58169	170244
191	58548	170157
192	58938	170097
193	59267	169860
194	59611	169664
195	59939	169420
196	60254	169139
197	60581	168894
198	60881	168571
199	61218	168349
200	61684	168482
201	62031	168283
202	62426	168213
203	62928	168427
204	63368	168466
205	63782	168434
206	64109	168171
207	64518	168120
208	64816	167778
209	65082	167354
210	65395	167054
211	65800	166983
212	66228	166969
213	66590	166788
214	67096	166961
215	67577	167067
216	67964	166936
217	68393	166904
218	68784	166778
219	69151	166591
220	69511	166386
221	69926	166310
222	70243	166001
223	70529	165618
224	70831	165273
225	71107	164869
226	71441	164599
227	71727	164217
228	72087	164006
229	72392	163669
230	73228	164525
231	73551	164223
232	73871	163911
233	74194	163609
234	74485	163235
235	74757	162819
236	75040	162429
237	75348	162093
238	75651	161749
239	75936	161365
240	76309	161168
241	76788	161191
242	77130	160926
243	77438	160590
244	77714	160188
245	78035	159876
246	78390	159636
247	78744	159393
248	79036	159026
249	79229	158459
250	79478	158007
251	79799	157699
252	80148	157446
253	80487	157172
254	80770	156789
255	81166	156625
256	81516	156371
257	81843	156073
258	82206	155842
259	82652	155769
260	83197	155875
261	83598	155709
262	83918	155393
263	84220	155042
264	84493	154639
265	84766	154236
266	85060	153873
267	85403	153598
268	85673	153193
269	85979	152852
270	86212	152382
271	86501	152012
272	86823	151702
273	87196	151480
274	87473	151091
275	87764	150725
276	88096	150431
277	88395	150081
278	88717	149770
279	88978	149356
280	89255	148971
281	89509	148547
282	89798	148183
283	90033	147730
284	90515	147682
285	90863	147414
286	91564	147715
287	91953	147509
288	92521	147585
289	93126	147717
290	93608	147649
291	93977	147402
292	94360	147176
293	94757	146970
294	95084	146655
295	95435	146377
296	95762	146061
297	96129	145806
298	96443	145471
299	96822	145234
300	97184	144969
301	97549	144708
302	97846	144348
303	98132	143971
304	98451	143642
305	98735	143263
306	99068	142955
307	99309	142516
308	99614	142168
309	99916	141817
310	100297	141577
311	100599	141226
312	100886	140853
313	101170	140478
314	101500	140167
315	101842	139872
316	102131	139504
317	102539	139298
318	102934	139074
319	103263	138759
320	103644	138515
321	103992	138226
322	104335	137928
323	104667	137618
324	104970	137269
325	105273	136920
326	105623	136631
327	105940	136301
328	106268	135984
329	106503	135550
330	106823	135223
331	107128	134878
332	107453	134559
333	107820	134291
334	108134	133957
335	108443	133618
336	108718	133236
337	109007	132872
338	109306	132522
339	109588	132150
340	109854	131761
341	110181	131444
342	110517	131138
343	110792	130760
344	111048	130361
345	111343	130008
346	111762	129799
347	112461	129912
348	112832	129644
349	113140	129303
350	113467	128983
351	113969	128863
352	114295	128542
353	114561	128152
354	114832	127771
355	115084	127369
356	115313	126941
357	115569	126545
358	115834	126159
359	116051	125722
360	116293	125313
361	116534	124904
362	116820	124544
363	117087	124164
364	117343	123773
365	117659	123445
366	117944	123085
367	118178	122674
368	118417	122268
369	118674	121881
370	118938	121503
371	119192	121114
372	119572	120854
373	119890	120531
374	120250	120250
375	120519	119878
376	120830	119548
377	121112	119189
378	121357	118795
379	121621	118421
380	121966	118124
381	122216	117737
382	122489	117372
383	122807	117050
384	123136	116739
385	123457	116421
386	123805	116127
387	124141	115822
388	124482	115522
389	124835	115232
390	125206	114959
391	125523	114635
392	125872	114342
393	126241	114066
394	126538	113724
395	126856	113401
396	127199	113102
397	127469	112737
398	127706	112343
399	127973	111976
400	128203	111578
401	128507	111245
402	128780	110885
403	129020	110497
404	129211	110068
405	129484	109710
406	129740	109338
407	129997	108968
408	130205	108557
409	130474	108198
410	130707	107809
411	130948	107428
412	131175	107036
413	131494	106720
414	131747	106350
415	132019	105996
416	132298	105648
417	132579	105302
418	132802	104910
419	133052	104541
420	133316	104183
421	133531	103787
422	133807	103440
423	134052	103068
424	134412	102785
425	134675	102429
426	134936	102071
427	135186	101705
428	135489	101380
429	135733	101011
430	135996	100656
431	136248	100293
432	136523	99949
433	136780	99591
434	137033	99230
435	137321	98897
436	137610	98563
437	137905	98233
438	138197	97902
439	138479	97564
440	138857	97294
441	139201	97000
442	139635	96767
443	140048	96520
444	140374	96212
445	140690	95896
446	140995	95573
447	141282	95239
448	141569	94904
449	141825	94550
450	142136	94232
451	142438	93908
452	142704	93561
453	142922	93183
454	143220	92856
455	143481	92507
456	143747	92161
457	144009	91813
458	144279	91471
459	144608	91166
460	144910	90843
461	145154	90486
462	145434	90150
463	145749	89836
464	146134	89566
465	146441	89247
466	146763	88938
467	147002	88578
468	147293	88250
469	147585	87923
470	147842	87575
471	148165	87266
472	148467	86946
473	148729	86601
474	149065	86301
475	149379	85987
476	149644	85645
477	149924	85312
478	150234	84996
479	150561	84690
480	150874	84376
481	151154	84044
482	151448	83720
483	151782	83417
484	152058	83083
485	152348	82757
486	152586	82402
487	152834	82054
488	153179	81758
489	153473	81434
490	153715	81084
491	154071	80793
492	154354	80464
493	154693	80164
494	155117	79908
495	155468	79614
496	155943	79383
497	156299	79091
498	156640	78790
499	157010	78505
500	157272	78165
501	157517	77817
502	157815	77495
503	158141	77188
504	158492	76892
505	158898	76622
506	159323	76362
507	159768	76110
508	160106	75806
509	160485	75522
510	160799	75207
511	161115	74893
512	161412	74570
513	161736	74260
514	161994	73919
515	162265	73585
516	162515	73242
517	162836	72930
518	163094	72591
519	163436	72289
520	163692	71949
521	163939	71605
522	164246	71288
523	164590	70987
524	164869	70658
525	165130	70321
526	165388	69984
527	165806	69714
528	166050	69370
529	166298	69029
530	166530	68682
531	166869	68379
532	167166	68058
533	167470	67740
534	167773	67422
535	168035	67088
536	168330	66767
537	168552	66418
538	168814	66085
539	169142	65777
540	169381	65435
541	169613	65091
542	169885	64762
543	170152	64432
544	170477	64124
545	170693	63775
546	170935	63436
547	171226	63116
548	171488	62785
549	171713	62441
550	172008	62122
551	172285	61797
552	172531	61462
553	172759	61120
554	173076	60810
555	173262	60454
556	173527	60127
557	173799	59801
558	174037	59465
559	174267	59126
560	174525	58797
561	174784	58468
562	175041	58139
563	175261	57799
564	175518	57470
565	175785	57145
566	176042	56817
567	176300	56490
568	176553	56162
569	176813	55835
570	177074	55510
571	177284	55169
572	177585	54856
573	177770	54508
574	178036	54184
575	178274	53853
576	178522	53525
577	178821	53213
578	179109	52897
579	179325	52561
580	179580	52235
581	179824	51907
582	180143	51601
583	180448	51291
584	180774	50987
585	181047	50668
586	181332	50352
587	181667	50051
588	181967	49739
589	182189	49407
590	182469	49090
591	182740	48771
592	183002	48451
593	183260	48129
594	183551	47815
595	183780	47486
596	184036	47165
597	184306	46847
598	184542	46520
599	184820	46205
600	185082	45885
601	185308	45557
602	185562	45236
603	185805	44913
604	186057	44592
605	186380	44288
606	186643	43970
607	186917	43655
608	187220	43346
609	187518	43037
610	187806	42725
611	188030	42399
612	188263	42075
613	188496	41751
614	188762	41435
615	189056	41125
616	189315	40808
617	189609	40499
618	189875	40183
619	190180	39876
620	190452	39562
621	190720	39247
622	190963	38928
623	191221	38612
624	191483	38296
625	191700	37972
626	191976	37660
627	192199	37338
628	192523	37035
629	192766	36717
630	193064	36409
631	193343	36098
632	193570	35778
633	193872	35471
634	194269	35182
635	194583	34878
636	194876	34569
637	195142	34257
638	195459	33953
639	195666	33630
640	195946	33320
641	196240	33012
642	196477	32695
643	196784	32389
644	197074	32081
645	197362	31773
646	197675	31469
647	197900	31150
648	198189	30843
649	198508	30539
650	198831	30237
651	199058	29919
652	199338	29610
653	199586	29297
654	199865	28988
655	200160	28681
656	200410	28368
657	200682	28058
658	200963	27750
659	201202	27436
660	201453	27124
661	201742	26817
662	202034	26511
663	202279	26198
664	202581	25893
665	202826	25581
666	203050	25267
667	203291	24954
668	203531	24642
669	203786	24332
670	204038	24022
671	204279	23710
672	204545	23402
673	204833	23096
674	205123	22791
675	205349	22479
676	205607	22170
677	205880	21863
678	206132	21554
679	206374	21244
680	206597	20932
681	206865	20625
682	207129	20318
683	207434	20015
684	207692	19708
685	207957	19401
686	208217	19094
687	208634	18801
688	208971	18501
689	209304	18200
690	209570	17893
691	209852	17588
692	210076	17279
693	210377	16975
694	210588	16665
695	210864	16360
696	211104	16052
697	211359	15746
698	211611	15439
699	211873	15133
700	212102	14826
701	212359	14520
702	212606	14214
703	212893	13910
704	213188	13607
705	213465	13303
706	213765	13001
707	214036	12697
708	214256	12389
709	214550	12087
710	214861	11785
711	215080	11478
712	215394	11177
713	215679	10874
714	215952	10571
715	216246	10268
716	216558	9967
717	216841	9664
718	217203	9364
719	217494	9062
720	217942	8766
721	218379	8469
722	218758	8169
723	219108	7868
724	219463	7567
725	219777	7265
726	220106	6963
727	220463	6662
728	220772	6359
729	221013	6055
730	221279	5751
731	221622	5449
732	221870	5145
733	222105	4841
734	222350	4537
735	222513	4232
736	222638	3927
737	222764	3622
738	222901	3317
739	223020	3013
740	223117	2709
741	223215	2406
742	223325	2104
743	223447	1801
744	223592	1500
745	223701	1199
746	223797	898
747	223885	598
748	223982	299
749	224067	0
