iter	Logloss
0	0.6738961701
1	0.6578428917
2	0.6417788327
3	0.628486409
4	0.6157827288
5	0.6057593493
6	0.5951818338
7	0.587427609
8	0.5776549443
9	0.5695857908110	0.5626442411	11	0.5570307022
12	0.5511339077
13	0.5456969052
14	0.5403766995
15	0.5362290285
16	0.5316986471717	0.5278489618	18	0.5250575319	19	0.5218124520	2020	0.52262021	21	0.5153187422	22	0.5127145923	2323	0.5150762424	24	0.5122317122525	0.510026	026	26	0.5079803927	27	0.5058794228	28	0.5041935229	29	0.5025671130	30	0.5007552631	31	0.4991174632	32	0.4975867733	33	0.4963238134	34	0.4946416735	35	0.4933986936	36	0.491894973737	0.49091619338	0.486627837
39	0.4848548459
40	0.4836609907
41	0.482540218
42	0.4815517605
43	0.4803433115
44	0.479054388
45	0.47727875
46	0.475774372
47	0.4747221068
48	0.4733809224
49	0.4725655591
50	0.4716939412
51	0.4705631134
52	0.4695555493
53	0.4688436138
54	0.4671386028
55	0.4664380257
56	0.4656377247
57	0.4648522638
58	0.4640265372
59	0.4635701652
60	0.4626779385
61	0.4620981961
62	0.4611209084
63	0.4607935052
64	0.4602453108
65	0.4589497542
66	0.4581962525
67	0.4573843604
68	0.456857585
69	0.4562401155
70	0.4549956513
71	0.4541733224
72	0.4532089944
73	0.4526520426
74	0.4522685448
75	0.4517484633
76	0.4511858748
77	0.4505274434
78	0.4499869207
79	0.4489981285
80	0.4486520605
81	0.4476569304
82	0.4470841274
83	0.4457091336
84	0.4451877777
85	0.444310069
86	0.4440596591
87	0.4433978283
88	0.4429218012
89	0.4423421528
90	0.4415504487
91	0.4407442038
92	0.4403311997
93	0.4397236306
94	0.4388340044
95	0.4379750616
96	0.4374921067
97	0.4369786796
98	0.436368565
99	0.4357016846
100	0.4348692373
101	0.4340992647
102	0.433319263
103	0.4330441881
104	0.4322513712
105	0.4303224267
106	0.4296974815
107	0.4291320408
108	0.4284295168
109	0.4277865197
110	0.4271831302
111	0.426607709
112	0.4262892301
113	0.4257126654
114	0.4251010169
115	0.4247099037
116	0.4238883861
117	0.4236449282
118	0.4227692559
119	0.4223064704
120	0.4218242895
121	0.4211504254
122	0.4204321547
123	0.4196967135
124	0.4187258469
125	0.4182425019
126	0.4176098173
127	0.4172515895
128	0.4162817406
129	0.4157252795
130	0.4150969422
131	0.414262452
132	0.4132601102
133	0.4127260048
134	0.4118168256
135	0.4112914702
136	0.4109152735
137	0.4102917763
138	0.4098102706
139	0.4094797897
140	0.4089730027
141	0.4080395226
142	0.4076480216
143	0.4072537639
144	0.4067635841
145	0.4065847316
146	0.4060923628
147	0.4054736711
148	0.4051163967
149	0.4038426016
150	0.4033338374
151	0.4027798634
152	0.4020996413
153	0.4017195205
154	0.4013140121
155	0.4012320907
156	0.4009597089
157	0.4006837849
158	0.4003174796
159	0.3999403299
160	0.3996893934
161	0.3994442688
162	0.3991181348
163	0.3985678564
164	0.3976525155
165	0.3970588691
166	0.3968228015
167	0.3960872508
168	0.3958236802
169	0.3955366893
170	0.3952098396
171	0.3945285594
172	0.3942829762
173	0.394099934
174	0.3936440815
175	0.3930010636
176	0.3923141604
177	0.3919152069
178	0.3916994736
179	0.3913859172
180	0.3906179709
181	0.390409751
182	0.3901780521
183	0.3898689687
184	0.3891997678
185	0.388458353
186	0.3880707606
187	0.3876089904
188	0.3874617598
189	0.387004622
190	0.3867578091
191	0.3865658254
192	0.386347188
193	0.3857534226
194	0.3854188729
195	0.3851483805
196	0.384811942
197	0.384237678
198	0.3834449841
199	0.3830744795
200	0.3824337897
201	0.3821008221
202	0.3812992804
203	0.3809741036
204	0.3808576549
205	0.3804278081
206	0.3800800783
207	0.379803765
208	0.3791489684
209	0.3788808853
210	0.3786010694
211	0.3782732743
212	0.3774525432
213	0.3771480234
214	0.3764755635
215	0.3759364009
216	0.3754294665
217	0.3744213804
218	0.3740213218
219	0.3736936947
220	0.3731649455
221	0.3720420716
222	0.371133619
223	0.3707414249
224	0.369733913
225	0.3692767758
226	0.3684768319
227227	0.36935753228228	0.36860672229229	0.36794867230230	0.36743304231231	0.36694516232232	0.36601442233233	0.36576108234234	0.36530938235	0.3640319545
23236	0.364034933237	0.3628146563
23238	0.36277155823239	0.36204688924240	0.36167616024241	0.36128706824242	0.36077835124243	0.36008018244244	0.35929164245245	0.35907008246246	0.35847995247247	0.35788454248248	0.35745858249249	0.35699794250250	0.35644627251251	0.355876252	0252	0.354991253	0253	0.3545920895
254	0.3542951674
255	0.3536579609
256	0.3531582792
257	0.3526451089
258	0.3518906337
259	0.3514135192
260	0.3508576108
261	0.3502346795
262	0.3496313768
263	0.3487836675
264	0.3481800942
265	0.3477679223
266	0.3472851054
267	0.3469386881
268	0.3463475724
269	0.3460434351
270	0.3454885096
271	0.344708185
272	0.3439451115
273	0.3436155018
274	0.3429996025
275	0.3419543794
276	0.3415883048
277	0.341125641
278	0.3406618155
279	0.3400976258
280	0.3395144631
281	0.338957072
282	0.3385483809
283	0.3379976783
284	0.3374665231
285	0.3369985592
286	0.3363599504
287	0.3358601747
288	0.3353750374
289	0.334492887
290	0.3342484111
291	0.3336974975
292	0.3330031403
293	0.3326862281
294	0.3320224752
